,Time,SC,Brent,WTI,EX
1,2018-03-26 09:00:00,442.7,69.17,65.64,6.2849
2,2018-03-26 09:30:00,431.0,69.05,65.56,6.2849
3,2018-03-26 10:00:00,434.3,68.94,65.39,6.2849
4,2018-03-26 10:30:00,432.8,68.98,65.5,6.2849
5,2018-03-26 11:00:00,432.4,68.96,65.41,6.2849
6,2018-03-26 11:30:00,432.3,69.18,65.67,6.2849
7,2018-03-26 13:30:00,432.5,68.99,65.49,6.2849
8,2018-03-26 14:00:00,428.0,69.03,65.51,6.2849
9,2018-03-26 14:30:00,428.3,69.05,65.54,6.2849
10,2018-03-26 15:00:00,429.9,69.09,65.58,6.2849
11,2018-03-26 21:00:00,430.9,69.2,65.67,6.2849
12,2018-03-26 21:30:00,427.8,69.22,65.74,6.2849
13,2018-03-26 22:00:00,428.1,69.16,65.69,6.2849
14,2018-03-26 22:30:00,426.3,69.17,65.71,6.2849
15,2018-03-26 23:00:00,426.9,69.37,65.97,6.2849
16,2018-03-26 23:30:00,425.0,69.3,65.9,6.2849
17,2018-03-27 00:00:00,424.6,69.26,65.86,6.2728
18,2018-03-27 00:30:00,423.8,69.22,65.83,6.2728
19,2018-03-27 01:00:00,424.4,69.28,65.88,6.2728
20,2018-03-27 01:30:00,424.7,69.11,65.69,6.2728
21,2018-03-27 02:00:00,423.6,69.01,65.57,6.2728
22,2018-03-27 02:30:00,422.2,69.08,65.63,6.2728
23,2018-03-27 09:00:00,425.3,69.57,65.89,6.2728
24,2018-03-27 09:30:00,426.4,69.19,65.46,6.2728
25,2018-03-27 10:00:00,425.8,69.32,65.59,6.2728
26,2018-03-27 10:30:00,426.2,69.11,65.4,6.2728
27,2018-03-27 11:00:00,425.8,69.02,65.26,6.2728
28,2018-03-27 11:30:00,427.6,68.97,65.32,6.2728
29,2018-03-27 13:30:00,426.9,69.03,65.31,6.2728
30,2018-03-27 14:00:00,425.2,69.0,65.22,6.2728
31,2018-03-27 14:30:00,423.8,68.55,64.82,6.2728
32,2018-03-27 15:30:00,424.0,68.56,64.82,6.2728
33,2018-03-27 21:00:00,427.9,68.62,64.86,6.2728
34,2018-03-27 21:30:00,424.4,68.66,64.86,6.2728
35,2018-03-27 22:00:00,418.8,68.62,64.84,6.2728
36,2018-03-27 22:30:00,417.1,68.58,64.78,6.2728
37,2018-03-27 23:00:00,411.8,68.53,64.74,6.2728
38,2018-03-27 23:30:00,410.1,68.55,64.74,6.2728
39,2018-03-28 00:00:00,410.9,68.54,64.75,6.2884
40,2018-03-28 00:30:00,412.2,68.48,64.68,6.2884
41,2018-03-28 01:00:00,412.2,68.41,64.59,6.2884
42,2018-03-28 01:30:00,409.7,68.46,64.7,6.2884
43,2018-03-28 02:00:00,409.3,68.48,64.71,6.2884
44,2018-03-28 02:30:00,409.8,68.5,64.75,6.2884
45,2018-03-28 09:00:00,408.0,68.51,64.58,6.2884
46,2018-03-28 09:30:00,409.7,68.54,64.61,6.2884
47,2018-03-28 10:00:00,407.1,68.48,64.67,6.2884
48,2018-03-28 10:30:00,407.9,68.66,64.71,6.2884
49,2018-03-28 11:00:00,407.2,68.67,64.72,6.2884
