,BuyPrice,SellPrice,CurrencyType
20180521, 0.81067, 0.81073,HKD
20180518, 0.80939, 0.80941,HKD
20180517, 0.81030, 0.81050,HKD
20180516, 0.80893, 0.80907,HKD
20180515, 0.80670, 0.80610,HKD
20180514, 0.80595, 0.80585,HKD
20180511, 0.80778, 0.80842,HKD
20180510, 0.81195, 0.81165,HKD
20180509, 0.81142, 0.81138,HKD
20180508, 0.81066, 0.81094,HKD
20180507, 0.81029, 0.81031,HKD
20180504, 0.80841, 0.80819,HKD
20180503, 0.81000, 0.81000,HKD
20180502, 0.80673, 0.80607,HKD
20180427, 0.80400, 0.80760,HKD
20180426, 0.80410, 0.80610,HKD
20180425, 0.80366, 0.80374,HKD
20180424, 0.80372, 0.80388,HKD
20180423, 0.80136, 0.80064,HKD
20180420, 0.79928, 0.79852,HKD
20180419, 0.80020, 0.80020,HKD
20180418, 0.79938, 0.79922,HKD
20180417, 0.79965, 0.79995,HKD
20180416, 0.79958, 0.79982,HKD
20180413, 0.80048, 0.80092,HKD
20180412, 0.80025, 0.80075,HKD
20180411, 0.80131, 0.80129,HKD
20180410, 0.80422, 0.80438,HKD
20180409, 0.80430, 0.80450,HKD
20180404, 0.79630, 0.80250,HKD
20180403, 0.79810, 0.79950,HKD
20180329, 0.80049, 0.80051,HKD
20180328, 0.79872, 0.79848,HKD
20180327, 0.79808, 0.79812,HKD
20180326, 0.80392, 0.80648,HKD
20180323, 0.80594, 0.80626,HKD
20180322, 0.80630, 0.80650,HKD
20180321, 0.80657, 0.80663,HKD
20180320, 0.80699, 0.80701,HKD
20180319, 0.80580, 0.80580,HKD
20180316, 0.80510, 0.80510,HKD
20180315, 0.80479, 0.80481,HKD
20180314, 0.80691, 0.80709,HKD
20180313, 0.80643, 0.80637,HKD
20180312, 0.80772, 0.80808,HKD
20180309, 0.80839, 0.80841,HKD
20180308, 0.80638, 0.80662,HKD
20180307, 0.80959, 0.80941,HKD
20180306, 0.80918, 0.80922,HKD
20180305, 0.81051, 0.81069,HKD
20180302, 0.81119, 0.81121,HKD
20180301, 0.80724, 0.80856,HKD
20180228, 0.80649, 0.80551,HKD
20180227, 0.80572, 0.80628,HKD
20180226, 0.80984, 0.80956,HKD
20180223, 0.81215, 0.81145,HKD
20180222, 0.80873, 0.81007,HKD
20180214, 0.81090, 0.80970,HKD
20180213, 0.80930, 0.81090,HKD
20180212, 0.80675, 0.80865,HKD
20180209, 0.81160, 0.81160,HKD
20180208, 0.80155, 0.80285,HKD
20180207, 0.80350, 0.80370,HKD
20180206, 0.80541, 0.80519,HKD
20180205, 0.80399, 0.80561,HKD
20180202, 0.80589, 0.80511,HKD
20180201, 0.80481, 0.80499,HKD
20180131, 0.81336, 0.80944,HKD
20180130, 0.80866, 0.80954,HKD
20180129, 0.80874, 0.80906,HKD
20180126, 0.80947, 0.80933,HKD
20180125, 0.81593, 0.81487,HKD
20180124, 0.82023, 0.81977,HKD
20180123, 0.81878, 0.81922,HKD
20180122, 0.81818, 0.81882,HKD
20180119, 0.82276, 0.82124,HKD
20180118, 0.82311, 0.82289,HKD
20180117, 0.82260, 0.82280,HKD
20180116, 0.82250, 0.82250,HKD
20180115, 0.82653, 0.82627,HKD
20180112, 0.83357, 0.83203,HKD
20180111, 0.83363, 0.83357,HKD
20180110, 0.83471, 0.83449,HKD
20180109, 0.83024, 0.83176,HKD
20180108, 0.82872, 0.82928,HKD
20180105, 0.83147, 0.83093,HKD
20180104, 0.83144, 0.83136,HKD
20180103, 0.83045, 0.83075,HKD
20180102, 0.83415, 0.83345,HKD
