date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-05-17,11.53,11.81,11.5,11.32,0.0,0.12,1.05,12.064,13.204,14.361,0.0,2152973.75,3687108.79,0.0
2018-04-27,11.55,11.92,11.37,11.07,0.0,-0.13,-1.13,12.338,13.541,14.581,0.0,2848083.95,3901227.34,0.0
2018-03-30,12.05,12.49,11.5,11.09,0.0,-0.6,-4.96,12.924,13.889,14.804,305127.05,3403610.7,4176714.19,0.0
2018-02-28,13.89,13.94,12.1,11.8,0.0,-1.75,-12.63,13.52,14.269,14.992,1135442.3,4064827.9,4479065.84,0.0
2018-01-31,12.89,14.72,13.85,12.89,0.0,0.98,7.62,14.056,14.544,15.159,2494465.5,4487963.3,4764846.21,0.0
2017-12-29,14.32,14.63,12.87,12.76,0.0,-1.43,-10.0,14.344,14.619,15.258,4305947.5,5075470.2,5153653.96,0.0
2017-11-30,14.5,14.86,14.3,13.95,1525635.25,-0.18,-1.24,14.744,14.899,15.366,5696167.9,5563070.0,5916750.36,1.89
2017-10-31,15.0,15.07,14.48,14.28,4151576.25,-0.3,-2.03,14.854,15.092,15.366,6502094.35,5750712.45,7059755.4,5.13
2017-09-29,15.29,15.41,14.78,14.69,6795116.0,-0.51,-3.34,15.018,15.219,15.263,6994213.5,5873163.68,7337843.74,8.4
2017-08-31,14.88,15.51,15.29,14.43,9057410.0,0.42,2.82,15.032,15.417,15.13,6481461.1,5860997.28,7850913.84,11.19
2017-07-31,14.85,15.5,14.87,14.61,6951102.0,0.02,0.14,14.894,15.517,15.155,5844992.9,5221243.83,8622897.34,8.59
2017-06-30,15.24,15.35,14.85,14.7,5555267.5,-0.45,-2.94,15.054,15.62,15.172,5429972.1,4954370.72,10239692.04,6.87
2017-05-31,14.79,15.36,15.3,14.23,6612172.0,0.45,3.03,15.33,15.719,15.171,4999330.55,4949817.68,10908889.26,8.17
2017-04-28,14.62,14.96,14.85,14.2,4231354.0,0.25,1.71,15.42,15.715,15.044,4752113.85,4893303.78,12024617.86,5.23
2017-03-31,15.7,15.92,14.6,14.43,5875069.0,-1.07,-6.83,15.802,15.774,14.909,5240533.45,5041729.13,14007555.76,7.26
2017-02-28,16.35,16.35,15.67,15.61,4875998.0,-0.56,-3.45,16.14,15.897,15.039,4597494.75,5231837.72,17106034.71,6.03
2017-01-26,15.77,16.76,16.23,15.36,3402059.75,0.48,3.05,16.186,15.833,15.345,4478769.35,6270430.73,19623741.01,4.2
2016-12-30,16.72,17.0,15.75,15.26,5376088.5,-1.01,-6.03,16.108,15.64,15.822,4900304.8,8368798.35,24279077.23,6.64
2016-11-30,16.29,17.39,16.76,16.27,6673452.0,0.47,2.88,16.01,15.307,16.465,5034493.7,8802523.8,31596284.0,8.25
2016-10-31,16.0,16.59,16.29,15.7,2659875.5,0.39,2.45,15.746,14.842,16.797,4842924.8,9840830.4,35844201.4,3.29
2016-09-30,15.8,16.14,15.9,15.58,4282371.0,0.06,0.38,15.654,14.793,17.071,5866180.7,12024550.85,38610951.03,5.29
2016-08-31,15.38,17.0,15.84,15.13,5509737.0,0.58,3.8,15.48,14.724,17.269,8062092.1,15525013.35,44134158.88,6.81
2016-07-29,15.5,16.65,15.26,15.1,6047033.0,-0.18,-1.17,15.172,14.623,17.68,11837291.9,16867960.85,54916171.23,7.47
2016-06-30,15.78,16.0,15.44,14.71,5715607.5,-0.39,-2.46,14.604,14.372,17.64,12570553.9,19155931.95,59861875.98,7.06
2016-05-31,15.03,16.09,15.83,14.25,7776155.0,0.8,5.32,13.938,14.044,17.4,14838736.0,22973382.4,60995703.2,9.61
2016-04-29,14.32,15.74,15.03,13.96,15261928.0,0.73,5.11,13.932,14.18,17.125,18182921.0,28980231.7,62004490.85,18.86
2016-03-31,12.35,15.42,14.3,12.25,24385736.0,1.88,15.14,13.968,14.857,16.864,22987934.6,32977051.3,62464370.85,30.14
2016-02-29,12.08,13.39,12.42,11.65,9713343.0,0.31,2.56,14.074,16.003,16.651,21898629.8,40189356.1,62537521.35,12.0
2016-01-29,15.7,15.74,12.11,11.11,17056518.0,-3.69,-23.35,14.14,17.622,16.488,25741310.0,54390044.2,62641480.55,21.08
2015-12-31,15.09,17.79,15.8,14.8,24497080.0,0.59,3.88,14.15,18.752,16.344,31108028.8,61847572.4,62528430.05,30.27
2015-11-30,14.56,18.59,15.21,14.2,39286996.0,0.38,2.56,14.428,19.348,16.022,39777542.4,65197351.2,62490435.25,48.55
2015-10-30,13.65,15.99,14.83,13.23,18939212.0,2.08,16.31,15.746,19.814,15.723,42966168.0,72743304.4,61618359.95,23.4
2015-09-30,11.83,14.19,12.75,11.41,28926744.0,0.59,4.85,17.932,20.737,15.461,58480082.4,92964381.6,61679593.35,35.75
2015-08-31,17.0,18.07,12.16,10.9,43890112.0,-5.03,-29.26,21.104,20.908,15.338,83038778.4,100567820.0,61169036.45,54.24
2015-07-31,21.5,23.0,17.19,15.81,67844648.0,-4.61,-21.15,23.354,20.756,15.296,92587116.0,99018024.0,60386980.75,83.84
2015-06-30,25.7,28.61,21.8,19.15,55230124.0,-3.96,-15.37,24.268,20.069,15.025,90617160.0,95028750.0,59367996.55,68.25
2015-05-29,28.65,29.48,25.76,25.31,96508784.0,-2.85,-9.96,23.882,18.871,14.518,102520440.8,91951690.4,58386444.15,119.26
2015-04-30,23.7,31.66,28.61,23.53,151720224.0,5.2,22.21,23.542,17.299,13.856,127448680.8,84885686.6,56429611.95,187.49
2015-03-31,22.23,24.88,23.41,19.52,91631800.0,1.65,7.58,20.712,15.353,13.004,118096861.6,70892916.9,51767671.15,113.24
2015-02-27,19.19,22.39,21.76,19.05,57994868.0,1.89,9.51,18.158,13.936,12.36,105448932.0,63209287.7,48653839.75,71.67
2015-01-30,24.19,25.38,19.87,18.66,114746528.0,-4.19,-17.41,15.87,12.695,11.741,99440340.0,59783519.3,46712575.55,141.8
2014-12-31,14.59,24.99,24.06,14.32,221149984.0,9.6,66.39,13.86,11.632,11.353,81382940.0,50493415.5,42245464.95,273.29
2014-11-28,10.66,14.89,14.46,10.44,104961128.0,3.82,35.9,11.056,10.185,10.685,42322692.4,30394805.1,32045949.65,129.71
2014-10-31,10.36,10.69,10.64,9.68,28392152.0,0.32,3.1,9.994,9.768,10.468,23688972.2,21770252.9,28178408.25,35.09
2014-09-30,9.82,10.54,10.32,9.77,27951908.0,0.5,5.09,9.714,9.836,10.561,20969643.4,21755937.5,27857402.45,34.54
2014-08-29,10.0,10.29,9.82,9.65,24459528.0,-0.22,-2.19,9.52,9.98,10.64,20126698.6,23707243.1,27366531.25,30.23
2014-07-31,9.18,10.28,10.04,8.95,25848746.0,0.89,9.73,9.404,10.165,10.662,19603891.0,24821197.9,26888674.55,31.94
2014-06-30,9.26,9.39,9.15,8.94,11792527.0,-0.09,-0.97,9.314,10.412,10.555,18466917.8,27973537.3,25983819.65,14.57
2014-05-30,9.3,9.88,9.24,9.06,14795508.0,-0.11,-1.18,9.542,10.655,10.543,19851533.6,32642425.4,25754741.43,18.28
2014-04-30,9.23,10.54,9.35,9.2,23737184.0,0.11,1.19,9.958,10.783,10.56,22542231.6,34098391.8,25516300.63,29.33
2014-03-31,9.55,9.74,9.24,8.77,21845490.0,-0.35,-3.65,10.44,10.786,10.505,27287787.6,33641631.8,24828268.83,27.0
2014-02-28,10.16,10.81,9.59,9.11,20163880.0,-0.7,-6.8,10.926,11.073,10.522,30038504.8,33997514.4,24196471.63,24.92
2014-01-30,11.28,11.33,10.29,10.06,18715606.0,-1.03,-9.1,11.51,11.185,10.524,37480156.8,33697094.2,23684907.73,23.13
2013-12-31,12.16,12.65,11.32,10.74,28248998.0,-0.44,-3.74,11.768,11.167,10.532,45433317.2,34586563.6,23631281.93,34.91
2013-11-29,11.73,11.99,11.76,9.77,47464964.0,0.09,0.77,11.608,11.286,10.46,45654552.0,33958867.4,23226131.53,58.66
2013-10-31,12.4,12.71,11.67,11.35,35599076.0,-0.84,-6.71,11.132,11.3,10.323,39995476.0,31025819.4,21547658.68,43.99
2013-09-30,11.59,13.69,12.51,11.28,57372140.0,0.93,8.03,11.22,11.158,10.187,37956524.0,28956151.2,20443177.33,70.9
2013-08-30,10.61,12.3,11.58,10.32,58481408.0,1.06,10.08,10.86,10.698,9.98,29914031.6,23994102.0,17963487.25,72.27
2013-07-31,9.29,11.4,10.52,9.02,29355172.0,1.14,12.15,10.566,10.43,9.771,23739810.0,18867057.45,15496180.3,36.28
2013-06-28,12.16,12.43,9.38,8.33,19169584.0,-2.73,-22.54,10.964,10.336,9.641,22263182.8,16934209.45,14767814.85,23.69
2013-05-31,10.62,12.44,12.11,10.48,25404316.0,1.4,13.07,11.468,10.224,9.627,22056162.8,16014905.85,14606502.25,31.39
2013-04-26,10.12,11.06,10.71,9.76,17159678.0,0.6,5.93,11.096,9.97,9.417,19955778.4,14395428.85,13716603.83,21.21
2013-03-29,12.46,12.73,10.11,10.06,27610300.0,-2.4,-19.18,10.536,9.862,9.284,18074172.4,13672721.25,13246283.35,34.12
2013-02-28,11.8,13.5,12.51,11.16,21972036.0,0.61,5.13,10.294,9.896,9.204,13994304.9,12676000.25,12195927.13,27.15
2013-01-31,10.38,12.1,11.9,9.48,18134484.0,1.65,16.1,9.708,9.634,9.03,11605236.1,12493395.65,11508487.3,22.41
